Headline,Body ID,Stance
British rapper a suspect in ISIS beheading,2295,unrelated
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,unrelated
Bali Awry,181,unrelated
Islamic State Leader al-Baghdadi “Not Dead”,2036,unrelated
Eggnog-chugging contest leads to hospital stay,941,unrelated
Would-be rapist has penis severed by angry mob,2106,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,unrelated
Amazon's first brick-and-mortar store said to open in Manhattan,1934,unrelated
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,unrelated
US confirms death of Somalia terror group leader,167,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,unrelated
Batmobile wasn't stolen: Cops,1338,unrelated
Michael Brown shooting audio caught on tape?,2248,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,unrelated
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,discuss
Saudi fatwa banning snowmen triggers heated debate,26,unrelated
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,unrelated
Everyone chill! Banksy has NOT been arrested,1898,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1435,unrelated
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,discuss
Jihadi John identity revealed as Mohammed Emwazi: live,2033,unrelated
IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,unrelated
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,unrelated
Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,discuss
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,unrelated
Zack Snyder Responds to Fake Stolen Batmobile Report,702,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,1720,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,unrelated
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,1744,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1832,unrelated
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,unrelated
Michael Phelps’ alleged girlfriend says she was born intersex,1849,unrelated
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,unrelated
How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,unrelated
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,unrelated
Islamic State flying three jets in Syria: monitor,777,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,discuss
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,discuss
Former U.S. soldier says IS used chemical weapons in Kobani,1758,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,1681,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,900,unrelated
Meteorite strike in Nicaragua puzzles experts,40,unrelated
Hunt for 'cruel' owner who abandoned dog at train station,36,unrelated
Militant Group Says It Killed American Journalist in Syria,2495,discuss
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,unrelated
Islamic State claims to have beheaded American journalist,1385,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,unrelated
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,unrelated
Meteorite 'caused mysterious boom in Nicaragua',345,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,1661,discuss
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,unrelated
Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,unrelated
Saudi Arabian cleric issues fatwa against snowmen,35,unrelated
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,discuss
Michael Phelps’ alleged girlfriend says she was born intersex,618,unrelated
Report: Possible audio tape of Michael Brown shooting,321,unrelated
Amazon plans ad-supported video streaming service - NY post,887,unrelated
CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,discuss
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,discuss
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,discuss
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,unrelated
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,discuss
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,discuss
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,unrelated
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,unrelated
Amazon.com to open first physical store in Manhattan: DJ,2477,unrelated
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,472,unrelated
New iOS 8 bug can delete all of your iCloud documents,139,unrelated
Sergeant-at-Arms stopped shooter on Parliament Hill,1568,unrelated
Cheese addiction breaks Kim Jong-un's ankles,2210,unrelated
PopWatch Teenager fights for the right to be recognized as Teletubbies' smiling sun-baby,2081,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,1438,unrelated
Media outlets identify 'Jihadi John',2531,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,808,unrelated
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,125,unrelated
Christian Bale Won't Play Steve Jobs After All,687,unrelated
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2290,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,2307,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,unrelated
Mexico prosecutor: Students not in 1st mass graves,1948,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1720,unrelated
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,unrelated
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',254,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,1574,unrelated
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2133,unrelated
Michelle Obama’s face blurred by Saudi state television,1242,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,discuss
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1982,unrelated
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1107,unrelated
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),775,unrelated
Pentagon: ISIS seized materials airdropped to Kurds,1627,unrelated
New policy could reduce marijuana possession arrests,296,unrelated
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1786,unrelated
ESPN's Domestic Violence Panel Is Missing Something Important,1020,unrelated
Boko Haram denies it has agreed ceasefire,381,unrelated
Islamic State claims to have beheaded American journalist,2047,discuss
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2302,unrelated
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',844,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,discuss
Kurds Deny Gill Rosenberg was in Kobane,1949,unrelated
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,discuss
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1718,unrelated
Tropical spider burrowed under Bali tourist's skin,2293,discuss
Alleged audio of Michael Brown shooting has surfaced,1104,unrelated
High school student scores $72M playing the stock market,1987,discuss
Mexico Says Missing Students Not Found In First Mass Graves,1419,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1603,unrelated
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1301,unrelated
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2269,unrelated
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1355,unrelated
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,678,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,971,unrelated
Does Vogue's New Office Have a Rat Infestation?,639,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,1795,unrelated
James Foley remembered as 'brave and tireless' journalist,874,unrelated
Homeless man receives $100... then shocks everyone with how he spends it,2492,unrelated
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,discuss
Islamic State using 'SCORPION bombs' to terrorise victims,1720,unrelated
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,2327,unrelated
First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,unrelated
ISIS Getting Ebola,720,unrelated
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,discuss
Apple Watch may be powered by Samsung processor,1658,unrelated
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,unrelated
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,unrelated
Video messaging service verifies timing of CNN audio recording,1299,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1603,unrelated
Apple in talks to become launch partner for cable-free HBO Now service,2306,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,unrelated
Passenger Wears A Hazmat Suit To Dulles Airport,2489,unrelated
Eggnog-chugging contest leads to hospital stay,2509,unrelated
Woman Spends Entire Week In KFC After Getting Dumped By Her Boyfriend,1805,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,972,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',2127,unrelated
Has Ebola infected Isis militants in Mosul?,1778,discuss
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1586,unrelated
Christian Bale won't play Steve Jobs,2455,discuss
Video Purports To Show Beheading Of U.S. Journalist By Militants,2453,unrelated
6 Islamist militants killed in US attack in Somalia,511,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1726,unrelated
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2177,unrelated
Could Kim Jong Un open a restaurant in Scotland?,773,unrelated
Cheeky vandals paint giant penis on bonnet of £1.5 million Bugatti Veyron sportscar,2252,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,524,unrelated
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,discuss
Soldier shot in Ottawa at War Memorial,1988,unrelated
Macaulay Culkin dead: Actor is victim of another death hoax,2022,unrelated
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,discuss
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,1338,unrelated
Video shows ISIL beheading of photojournalist James Foley,694,discuss
Isis claims it has US airdrop of weapons,1648,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,unrelated
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1034,unrelated
Staff Reporter,707,discuss
New iOS 8 bug can delete all of your iCloud documents,2054,discuss
The Apple Watch Will Debut by Late March [Report],670,unrelated
Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,unrelated
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2175,unrelated
Boko Haram denies it has agreed ceasefire,2403,discuss
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,discuss
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,2097,unrelated
"ISIS Unleash ""Scorpion"" Bombs In Iraq",185,unrelated
Michael Phelps’ alleged girlfriend says she was born intersex,645,unrelated
ISIL Beheads American Photojournalist in Iraq,139,unrelated
Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,1155,unrelated
Soldier shot in Ottawa at War Memorial,2269,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,698,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1883,unrelated
This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1734,unrelated
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,discuss
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,discuss
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,859,unrelated
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,discuss
CNN Airs Alleged Audio from Michael Brown Shooting,1605,discuss
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1011,unrelated
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,36,unrelated
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),81,unrelated
North Korea Leader Kim Jong Un Is Still In Charge: Source,1580,unrelated
Former PGA Tour player: Tiger Woods suspended for drug test failure,43,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2492,unrelated
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2352,unrelated
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,unrelated
Alleged audio of Michael Brown shooting released,776,unrelated
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,unrelated
Big Bank Hank of The Sugarhill Gang is dead at 57,1458,unrelated
Isis claims to behead US journalist,1347,unrelated
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,discuss
Kim Jong-Un 'bans the name Kim Jong-un',1034,unrelated
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,887,unrelated
Boko Haram denies truce to release kidnapped schoolgirls,171,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,984,unrelated
Saudi cleric condemns snowmen as anti-Islamic,1950,unrelated
Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,487,unrelated
Did a Meteorite Impact in Nicaragua over the Weekend?,373,unrelated
Meteorite strike in Nicaragua puzzles experts,715,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,unrelated
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,unrelated
Small red book among finds in 113-year-old Boston time capsule,690,unrelated
Kurds fear Isis use of chemical weapon in Kobani,1253,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1569,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',298,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,unrelated
Ferguson riots: audio may have captured Michael Brown shooting,1803,unrelated
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,unrelated
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,discuss
Canadian Soldier Shot At Ottawa War Memorial: Report,373,unrelated
ISIS Extremists Claim to Behead British Hostage David Haines,1528,unrelated
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,unrelated
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2287,unrelated
Missing Planes,1958,discuss
Islamic State militants claim to behead missing American journalist,1372,unrelated
ISIS Militants Allegedly Contracted Ebola,1905,unrelated
Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,1699,unrelated
Tropical spider 'burrowed under man's skin through scar' - video report,1888,unrelated
ISIS Getting Ebola,1013,unrelated
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1547,unrelated
REPORT: Alleged New Audio of Michael Brown Shooting,2235,discuss
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2078,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',401,unrelated
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1627,unrelated
ISIL video claims beheading of kidnapped journalist James Foley,2304,unrelated
Tiger Woods serving secret PED suspension?,757,discuss
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,108,discuss
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,2154,discuss
Founding Fathers-Era Time Capsule Found in Boston,2061,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,1261,unrelated
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,913,unrelated
You may be able to make appointments at the Apple Store to try on the Apple Watch when it launches,2056,discuss
Whiz kid stock picker: I didn't actually make $72M trading,313,unrelated
Isis video claims to show beheading of British hostage David Haines,1301,unrelated
Soldier shot near Canadian parliament building,1574,unrelated
ISIS leader dead?,1631,unrelated
British rapper a suspect in ISIS beheading,975,unrelated
Jose Canseco shoots self in hand,2000,discuss
New policy could reduce marijuana possession arrests,687,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,1934,unrelated
This Soap Opera Star Reportedly Had His Testicles Stolen By An ‘Attractive Blonde’ Organ Trafficker,1015,unrelated
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1795,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,2313,unrelated
Seth Rogen to play Woz in Jobs biopic,646,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,527,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1776,unrelated
Islamic State reports youngest jihadist 'martyred' in battle,847,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,1697,unrelated
Report: Christian Bale Will Play Steve Jobs,1658,unrelated
Hilarious: North Dakota Pays Special Tribute to President Obama,265,unrelated
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',730,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1314,discuss
Apple may launch 12-inch MacBook Air with Retina Display,1234,unrelated
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2377,unrelated
Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,1362,discuss
Pentagon: Somali terror group leader killed in U.S. airstrike,2374,discuss
NEWS/ You'll Never Guess How a Homeless Man Spent $100—Watch the Touching Video!,467,unrelated
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,1948,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,2141,unrelated
Microsoft turns to robotic security guards to watch for trouble,2306,unrelated
Amazon.com to open first physical store in Manhattan: DJ,568,unrelated
Iraqi media: ISIS militants have contracted Ebola,2138,discuss
Crazy iPhone rig shows how Chinese workers manipulate App Store rankings,2421,unrelated
Everyone chill! Banksy has NOT been arrested,2412,unrelated
Missing American journalist reportedly beheaded by Islamic State ,984,unrelated
Macaulay Culkin Dead?,2341,discuss
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1803,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1372,unrelated
Saddam Hussein’s pilots training Islamic State group,487,unrelated
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,723,unrelated
Give a homeless man $100 and see what he does with it [Video],1681,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,2356,discuss
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1572,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,1818,discuss
Hospital Officials: Kansas City Patient Not Being Treated For Ebola,707,unrelated
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1597,discuss
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,2192,unrelated
Catholic Priest Claims God Is Female After Clinically Dead Experience,2520,unrelated
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,646,unrelated
James Foley Killer ‘Jihadi John’ Believed to Be Former London Rapper Abdel-Majed Abdel Bary,8,unrelated
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,1221,unrelated
Meet the 17-Year-Old Who Made $72 Million During His High-School Lunch Breaks,2220,unrelated
Apple Watch launch expected in late March,2273,discuss
Isis claims it has US airdrop of weapons,1347,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,2463,discuss
Meteorite leaves crater in Nicaraguan capital Managua,1825,discuss
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',2254,unrelated
Texas City plumber's truck ends up in Syrian war,1299,unrelated
Has Ebola infected Isis militants in Mosul?,2299,unrelated
Was The Batmobile Stolen In Detroit?,61,unrelated
Apple Watch mass production kicks off in January: Report,2116,unrelated
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,1223,unrelated
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,693,unrelated
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,1681,unrelated
Macaulay Culkin dead: The death hoax is once again on the child actor,1423,unrelated
Kim Jong ill? Analysts say 27-year-old sister Kim Yo Jong may be running North Korea (VIDEO),1029,unrelated
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1739,unrelated
GOP Rep: ‘At Least Ten ISIS Fighters Have Been Caught Coming Across The Mexican Border’,416,discuss
'Spiderman' squished: Perth experts debunk spider burrowing claims,2293,discuss
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,2192,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,539,unrelated
Unverified video shows beheading of aid worker David Haines,1477,unrelated
Dumped woman spends a week in KFC to get over ex,1266,unrelated
WTC rats scare off Anna Wintour,367,unrelated
Parliament Hill shooting: Sergeant-At-Arms Kevin Vickers the family hero who took down Ottawa gunman,2410,unrelated
Islamic State using 'SCORPION bombs' to terrorise victims,1385,unrelated
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1349,unrelated
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,530,unrelated
The rats eat Prada at Vogue NY office,1435,unrelated
Parliament Hill shooting: Sergeant-At-Arms Kevin Vickers the family hero who took down Ottawa gunman,1002,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,2313,unrelated
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,1217,discuss
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,639,unrelated
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,214,unrelated
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,2141,unrelated
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,1408,unrelated
Is this proof of bigfoot? New 'yeti' video shows giant hairy beast walking through forest,2377,discuss
ISIS Beheads American Journalist,7,unrelated
Alleged audio of Michael Brown shooting released,1628,unrelated
Wayward sister ‘nun the wiser’ about baby,699,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,2509,unrelated
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1339,unrelated
Islamist terrorists Jabhat Ansar al-Deen tweet picture of Texas plumber’s truck fitted with anti-aircraft gun in Syria,2344,unrelated
Apple-HBO Deal Seen Launching Web-only Apple TV Streaming Service For $15 Per Month,1534,discuss
NASA Raises Doubts About Reports of Nicaraguan Meteorite,1790,discuss
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,1528,unrelated
